class,A.bes(H),A.bes(T),A.bes,A.bic(H),A.bic(T),A.bic,A.fuj(H),A.fuj(T),A.fuj,B.xyl(H),B.xyl(T),B.xyl,C.ele(H),C.ele(T),C.ele,M.ent(H),M.ent(T),M.ent,M.gra(H),M.gra(T),M.gra,M.inc(H),M.inc(T),M.inc,P.cof(H),P.cof(T),P.cof,P.vul(H),P.vul(T),P.vul,P.spe(H),P.spe(T),P.spe,H.sp(H),H.sp(T),H.sp,M.ams(H),M.ams(T),M.ams
A.bes(H),0.9354715750695225,0.0001033324722293981,0.0,0.060739260739260746,0.0,0.0,0.01699783213518439,0.0,0.0,0.10034153218560488,3.26887163602859e-05,0.0,0.08889968862925965,0.0,0.0,0.05208625505857508,0.0,0.0,0.03640576208497152,4.025764895330113e-05,0.0,0.005395944122991852,1.6054198975742105e-05,0.0,0.0007989111137412713,1.129815840018077e-05,0.0,0.008776800897383393,8.887150957146156e-06,0.0,0.005342539894194218,0.0013140400121295999,2.6170474470702153e-05,0.006429494604083642,0.0,0.0,0.004491298109912045,7.293946024799416e-05,0.0
A.bes(T),0.0,0.9157472934309603,6.4591972509656505e-06,8.367500627562547e-06,0.025600859834254447,0.0,0.0,0.013143380674635467,0.00013308490817141337,0.0,0.032420824569451605,3.2511866831393456e-05,3.410757529247246e-05,0.09294298064394997,0.00034332573519534575,0.0,0.00970143343628732,9.575563162808513e-05,0.0,0.005751171366614791,1.3837574549932888e-05,0.0,0.006004085620392573,0.0010425750160839083,2.8233035474809073e-05,0.0003386550556361877,0.0,1.2413724613933163e-05,0.0002027643540265621,0.0,5.839416058394161e-06,0.0005405374049757285,0.0,5.211590577444236e-05,0.0016264775663271907,0.001296821769738928,0.0001916769604293564,0.007531925983841542,0.0002759987114739161
A.bes,0.0,0.0052059632114557575,0.9720364836025973,0.0,0.0003945551390806865,0.020380434782608696,0.0,2.197802197802198e-05,0.02762084540117533,0.0,0.0001331439730161548,0.1946889887375782,2.5656814449917897e-05,0.0001484903481273717,0.21385733903387638,0.0,9.537434430138293e-05,8.239947264337509e-05,0.0,0.0001614987080103359,0.053930432932666736,0.0,2.6267402153926975e-05,0.0009882985452245414,0.0,0.0,0.0002556237218813906,0.0,1.8927922471229557e-05,0.017977909940526764,0.0,0.0,0.001458966565349544,0.0,0.0,0.0,0.00047694753577106523,0.0002922320059662701,0.003703703703703704
A.bic(H),0.059605432416791074,5.806526535826269e-05,0.0,0.8891639319508033,0.0,0.0,0.010842435489193376,0.0001864382116482957,0.0,0.043630865102639305,0.0005166378474125932,0.0,0.03314285714285714,0.0,0.0,0.06284933446214268,0.0,0.0,0.035345855054995746,4.645113340765514e-05,0.0,0.010820303438725183,0.0,0.0,0.0005380200860832137,0.0005610001831837332,0.0,0.002852790716103299,9.652953874391865e-05,0.0,0.00275315890995301,0.008424912183025204,0.0,0.0076310620705246305,0.0,0.0,0.002143909955781857,0.0,0.0
A.bic(T),1.0800535706571046e-05,0.030404915317433275,0.0,0.0,0.9968084956813932,0.0,0.0,0.020970176668420763,0.0,0.0,0.01549580463641019,0.0,1.1681151294271564e-05,0.002372594116934996,0.0,0.0,0.030157825387777688,0.0,2.5634452704434763e-05,0.009324009324009324,0.0,0.0,0.025428852489158733,3.2734295721627547e-05,0.0,0.003688190792449501,0.0,1.833987455525804e-05,0.0034082969844596764,2.67379679144385e-05,1.3694690568466605e-05,0.008770416360276168,0.0001279795232762758,0.0014325343272711694,0.03754445989565798,0.00010850694444444444,0.0,0.000489537282640731,0.0
A.bic,0.0,0.0021391697899724206,0.023650616144305185,0.0,0.0010299934080421885,0.9845317725752509,0.0,0.0,0.1118591819659944,0.0,0.00012056490050815525,0.04886640377588267,0.0,0.0,0.003370473537604457,0.0,3.912363067292645e-05,0.008634832915983076,0.0,0.0003541076487252125,0.03294393703063488,0.0,0.00018958841224046467,0.06679207512591051,0.0,0.0,0.004209747890037721,0.0,0.0,0.0817982006301213,0.0,0.0,0.046521851315458135,5.1440329218106995e-05,0.00014545454545454546,0.04873567635742277,0.0,0.0,0.00450438850619112
A.fuj(H),0.07364360049166412,5.74851400912864e-06,0.0,0.032890244002787485,0.0,0.0,0.8741100480964152,0.0,0.0,0.09947155182546027,0.00045573658425430096,0.0,0.025582796836875674,0.0,0.0,0.033573936512152465,0.0,0.0,0.015690599871913468,1.4619883040935671e-05,0.0,0.016123514847223408,0.0,0.0,0.01825056083610114,3.510311540149188e-05,0.0,0.02529243646285667,2.6467279825315953e-05,0.0,0.02248392710397835,0.0005228064178654809,1.9013937215979313e-05,0.003218842193697126,0.0,0.0,0.0014675931472385288,0.0,0.0
A.fuj(T),0.0,0.04079250309063759,6.251736593498194e-05,1.8796992481203007e-05,0.03775029176692749,4.1295011562603234e-05,0.0,0.8345987258627624,0.0005393375747494322,0.0,0.01354635717485951,1.229588825496754e-05,0.00045049818544238315,0.0003075871496924128,0.0003043110735418428,0.0,0.00029332394696703035,0.0,1.0093261738463402e-05,9.534706331045003e-05,0.0,0.0,0.0021301976823449214,6.808278867102396e-05,3.0733296453377585e-05,0.0040587130781472875,0.0,1.5206812652068126e-05,0.0006622384985728761,3.593244699964067e-05,2.470142156681117e-05,0.005901470927855571,1.624167614097775e-05,0.0032560575081422424,0.009893479083638248,0.0001763668430335097,0.0007105349516584606,0.007194423699278069,5.3573341905068036e-05
A.fuj,2.2848786729424668e-05,0.008491407453010958,0.049772148902171985,0.0,0.0009928295642581356,0.094821504820463,0.0,0.0014236775370378612,0.8851921993214729,0.0,0.0001413627367825841,0.1640062654838868,2.0822921872397133e-05,3.593244699964067e-05,0.0233542734063984,0.0,3.572704537334762e-05,0.00025467198608153103,0.0,0.0002515090543259557,0.0018370636973718743,0.0,0.0013779915070727523,0.0035236373352349965,0.0,0.0,0.005739795918367346,0.0,0.0,0.016266173752310535,0.0,5.85120388519938e-05,0.017408123791102514,0.0,0.0,0.00854314287150108,0.00031539747682018547,0.0003418803418803419,0.047470985371606586
B.xyl(H),0.14596979404439608,0.0,0.0,0.051551023922083855,0.0,0.0,0.05407516252838738,0.0,0.0,0.8843164773634961,0.0,0.0,0.04946055739617671,0.0,0.0,0.027505671010202737,0.0,0.0,0.019769058056238638,2.1367521367521368e-05,0.0,0.0009847826277846563,0.0,0.0,0.00457175925925926,0.0004213680415749801,0.0,0.024729779781678264,0.00017281169883302696,0.0,0.005407690938223251,0.0015602068649933796,0.0,0.0010008593029294094,0.0,0.0,0.0005043818170354958,0.0,0.0
B.xyl(T),0.0,0.016077631852416348,7.996801279488205e-06,1.760253476500616e-05,0.037844383266465026,0.0,0.0,0.023254480701496404,2.1129141311697092e-05,0.0,0.9288842427290954,0.0,0.0008533271080684227,0.0030500168976005416,0.00014842300556586272,0.0,0.016539183289454817,3.603603603603604e-05,0.00016703902449209695,0.00032943284840818046,0.0,0.0,0.0036141119816738565,0.0,0.00010065375444835162,0.008787831546472811,0.0,5.3474506029250556e-05,0.053913366224863035,0.0,9.072134513555708e-05,0.010036307705419616,0.0,0.0001932367149758454,0.01915480662364913,0.0001823486506199854,0.0015204789508695242,0.0005935223926855726,0.0
