class,A.bes(H),A.bes(T),A.bes,A.bic(H),A.bic(T),A.bic,A.fuj(H),A.fuj(T),A.fuj,B.xyl(H),B.xyl(T),B.xyl,C.ele(H),C.ele(T),C.ele,M.ent(H),M.ent(T),M.ent,M.gra(H),M.gra(T),M.gra,M.inc(H),M.inc(T),M.inc,P.cof(H),P.cof(T),P.cof,P.vul(H),P.vul(T),P.vul,P.spe(H),P.spe(T),P.spe
A.bes(H),0.919024958870708,0.0018981472013358703,2.169879897147693e-05,0.031737584919391174,0.0002290719835801202,0.0,0.009466709257975103,0.00012141020429353716,0.0,0.07725601214523425,0.0013233509392916317,0.0,0.09243650387426643,0.00012253963391284367,1.4727540500736377e-05,0.03552948048374728,0.0005283143470364867,2.354270646953574e-05,0.03302735182046837,5.066897471960762e-05,0.0,0.01017435048637572,0.0017852042273636102,2.1197668256491786e-05,0.0005204509400682081,2.4417490248264832e-05,8.31358856050214e-05,0.009913691494580257,0.0006453756222915964,1.888788153520701e-05,0.004783420485864451,0.0008906397868831135,7.817385866166354e-05
A.bes(T),0.0,0.9067094106633725,7.88904842297922e-06,0.0,0.022412097872851613,0.00022404779686333086,8.015132570292712e-06,0.0029240875028701185,0.00029798257711861756,0.0,0.050067245613762724,7.541478129713424e-06,0.0007233845837756394,0.10486975061502869,0.0001543270820229919,5.6524958595467835e-06,0.006969330127672128,7.18803910293272e-05,3.2310699688201747e-05,0.005464057634880116,9.953219866626853e-05,0.0,0.0025605621629042996,0.0005585955312357501,7.81188969611749e-05,0.00022851493275131976,0.0,2.957853618252441e-05,0.0008023548402411812,4.3767507002801114e-05,5.608650782967649e-06,4.931641962793501e-05,0.0001157608381084679
A.bes,0.0,0.004385407561004103,0.970401952508193,0.0,0.00019869304132815255,0.02302589616022452,0.0,0.0,0.025895631881144646,0.0,5.5923720045857445e-05,0.18807150200565306,0.0002554278416347382,0.0004971855202296019,0.2441406850817372,0.0,2.2629554197782303e-05,0.0005299417064122947,0.0,0.00010683760683760684,0.044587902543956816,0.0,0.0,0.0017005032101336112,0.0,1.636741574872743e-05,0.0034756163788421854,0.0,1.6196954972465176e-05,0.03341907140638446,0.0,0.0,0.0021774874461182956
A.bic(H),0.037606161197042465,0.0003162278218752049,0.0,0.8949358254562918,0.0051247886024701475,0.0,0.013434022257551671,0.003010722610722611,5.279273571956499e-05,0.0219913728669479,0.0007573003756209863,0.0,0.02537688800227985,0.0,0.0,0.07337938558844465,0.0003976143141153081,0.0,0.03985275536736095,6.200396825396825e-05,0.0,0.020825414332460986,0.0017867113344500276,0.0,0.00037297527706734866,0.0015424211448598134,0.0,0.004972153470362343,0.0004948745139625309,0.0,0.00552093931593521,0.014116169545709637,0.00010094891984655764
A.bic(T),0.0,0.03704923200691467,0.0,0.0,0.9466490875440435,0.0,0.0,0.01783026204688616,0.00031428686950231573,0.0,0.015089857988004555,9.902558821199399e-06,0.0,0.013955998339559983,0.0,0.0,0.031412282855723735,0.0,6.061708189367764e-05,0.007898594682034172,0.0,0.0,0.03444149497921932,0.0,0.0,0.011997896096834913,0.0,0.00012983429897593196,0.005160596693992743,3.598157743235463e-05,4.221279469807298e-05,0.011032113375005965,0.00011295606009262397
A.bic,0.0,0.0054487276239925135,0.008360080861768824,0.0,0.006993630450316328,0.9893586562321054,0.0,7.246376811594203e-05,0.0895687125000844,0.0,0.001410303156971549,0.04146957259075747,0.0,2.5608194622279128e-05,0.003069677998933213,0.0,0.001911589008363202,0.015957326932936687,0.0,0.001358695652173913,0.05181737383071525,2.993295019157088e-05,0.0027593545322444676,0.09935035718227844,0.0,3.540073633531577e-05,0.025370527706976304,0.0,4.409171075837743e-05,0.08361361260454,0.0,0.0,0.03199441700400337
A.fuj(H),0.030919898532251345,2.6050825159886942e-05,0.0,0.02890071248977985,0.0,0.0,0.8603839941718182,0.0010652173913043481,7.063643427279792e-05,0.13430307977723857,0.00037668257958380416,9.872058126678251e-06,0.03154379471641248,0.0,0.0,0.027857913252854125,0.0,0.0,0.019251291875400357,0.0001441753171856978,0.0,0.027692809095464805,0.0004878643737041102,0.0,0.0154046384603896,0.00019646206919258884,0.0,0.03479781543410766,4.136290781241922e-05,0.0,0.017233225088724855,0.001212709192335678,0.0
A.fuj(T),0.00011318157947157786,0.0177475485527027,0.0,0.0002182319718568049,0.06153407412232646,0.0,0.002722265719799211,0.747966983449357,0.0015848222363387405,0.0,0.0157905463835752,0.0,0.001278395795985151,0.00020510535216417566,0.0,0.00012930120457002177,0.0009553835865099837,0.0,0.00033565181718164355,7.368110816386678e-05,0.0,8.300398559402098e-05,0.005654707773754437,6.0378269860677136e-05,0.0003534860203689053,0.0048324981518059786,0.0,0.0004530010948496186,0.0005857468272046859,0.0,0.0004921184159938485,0.001993488315822344,0.00010150841504760744
A.fuj,0.0,0.01011080805160304,0.12190649972727621,0.0,0.0005613436321178372,0.11301360942302276,1.7358398861289034e-05,0.0035328467153284667,0.8652173107890971,0.0,0.0005388414907947912,0.1701991642594196,0.0009765028989929814,0.0002538331435064747,0.06162272917858136,0.0,0.0001497005988023952,0.0012520455753187256,0.0,0.00025826446280991736,0.008374289287425058,0.0,0.0007484768096250334,0.020959892055119483,0.0,5.6470056752407034e-05,0.011035534156967893,0.0,1.434308663224326e-05,0.03007979864421323,0.0,0.0,0.012740409081472491
B.xyl(H),0.0990817505420166,0.0006328237043028267,8.380034567642592e-05,0.04397275281731888,0.00014836244946404064,0.004455355519185306,0.030587415312602638,0.0,9.079559641357395e-05,0.8893755144308628,0.0023951174015013625,0.00021119819777537903,0.041090651417237375,2.52000252000252e-05,0.0002916666666666667,0.021077116976340415,0.0010471204188481674,2.7054081108135164e-05,0.02396044308699924,9.928514694201748e-05,0.0,0.0013481140168858667,0.0004065445373689101,0.00015750002482874277,0.000906336606121075,0.003493380189189655,0.0114024045390692,0.04834484859952187,0.009207594326548251,0.006757660840030782,0.006648701296301601,0.00616737886496618,0.006042980692356683
