class,A.bes(H),A.bes(T),A.bes,A.bic(H),A.bic(T),A.bic,A.fuj(H),A.fuj(T),A.fuj,B.xyl(H),B.xyl(T),B.xyl,C.ele(H),C.ele(T),C.ele,M.ent(H),M.ent(T),M.ent,M.gra(H),M.gra(T),M.gra,M.inc(H),M.inc(T),M.inc,P.cof(H),P.cof(T),P.cof,P.vul(H),P.vul(T),P.vul,P.spe(H),P.spe(T),P.spe
A.bes(H),0.6859103852408545,0.0024913012066202183,3.380865802166759e-05,0.03684826061275041,0.0015705770940269742,0.00041625041625041625,0.004527674435178801,0.0031798078811808884,0.00016265108181502037,0.030697444853937727,0.001121161578761601,4.182420450363034e-06,0.05606592140554783,0.001560671088568084,0.0001085540599218411,0.02370897923175465,0.0002867006026563688,0.00012041744715012042,0.01978557727586862,4.346973018321561e-05,0.0,0.008860461384029546,0.0003586579467953352,7.995948719315547e-05,0.000926503677652353,0.0005341715264503199,0.0,0.010886194274730044,0.00044462229336178917,0.0,0.004123144584936777,0.0010178381325786098,0.00012651821862348178
A.bes(T),0.0002458500111750005,0.8091912644432353,0.001632032755550217,3.0958793845391784e-05,0.019015064860129244,0.0012236400935730029,1.5533058152771825e-05,0.005582889091541092,0.0019096876864929382,0.0,0.018549917698569944,0.0009777783792562116,0.00041379310344827585,0.051744304669654066,0.0018250654501054135,0.0002340567148677214,0.0029559250461863294,0.0025136523076811825,0.0005774274005341203,0.0010003201024327785,0.0016211834743439374,9.415344752263449e-05,0.0016592666133495124,0.005576127596660358,0.00022056572858711895,0.0012833222646788005,1.412070377587619e-05,0.00011529371072807978,0.0015829408686551549,2.4890481879729188e-05,1.523530935295641e-05,0.0006262115598600767,0.000502139014467419
A.bes,3.7650885925345823e-06,0.005816750502638423,0.9543756863418544,0.0,0.00014110342881332015,0.028817408301713237,1.0854227721697601e-05,6.0786241910032706e-05,0.02907102968594994,0.0,0.00042455994361843954,0.07004606594610262,0.0,0.0012864968088848686,0.1107955236867193,6.175889328063241e-05,0.00017670342097823012,0.006315052916994664,0.00018624471065021756,0.0,0.019232103831569924,3.16864310780516e-05,7.653861755948963e-06,0.011151589634659042,5.8628102403752194e-05,0.00010567682705326772,0.001286923649232873,4.516439841021317e-05,5.3874472479123635e-05,0.013944472622979775,9.676912097349735e-05,0.0,0.002272189349112426
A.bic(H),0.04270283369487281,0.0006158893158915156,0.0,0.7808648951274834,0.0024804177545691905,0.0,0.01825590404986667,0.003589069889647925,0.00010672681979929818,0.038873928193371585,0.004560871563779597,0.0,0.013476810946470933,4.712757434374852e-06,0.0,0.07793506285880915,0.0007281729016567272,0.00021375799922512725,0.0398659589731731,7.283109013575715e-06,0.0,0.016120302765341914,0.00024339783375927957,3.923530392647304e-05,0.0007469654528478058,0.0034150037888355644,0.0,0.0029053821623481065,0.0016374512273565902,0.0,0.0037338437824684318,0.008045426128990204,0.000152265288938087
A.bic(T),5.838665981596525e-05,0.01719232213050014,0.0001047504320955324,0.00013669761348749789,0.8565790939003436,0.0031188241106719365,2.8701267639320742e-05,0.014626543066150398,0.0005284158309069341,2.862823061630219e-05,0.015882937134770066,4.289884019937471e-05,0.0007386348714447042,0.0019365109710802087,0.0002840907528776114,0.00013170458661222875,0.013843155969140222,0.0006133793367835922,0.0006416389509013319,0.006410658963409529,0.0004114707981693749,8.313317635336737e-05,0.010573722643963718,0.0015583767947306088,3.7852979029449615e-05,0.006875458712916519,0.00011517199017199019,4.4146602036041285e-06,0.008518143693906252,1.0602205258693808e-05,1.569883357666525e-05,0.007332574663769508,0.00033493357150831754
A.bic,4.238245931283906e-05,0.007773643606398857,0.02889491453147358,0.00013132838663077023,0.011702627243680248,0.8527354997943233,0.0,0.0013278688524590164,0.06599796099081376,4.958677685950413e-05,0.002065923622803665,0.05647403223355947,0.0,0.0006113590511707527,0.0034962091537981497,0.0008299926130657437,0.002880000000000001,0.06863015935979601,0.0005657925985945991,0.0006766141115223056,0.06655758483445229,0.00023534506293126982,0.0017059850802014884,0.06638848506008942,7.695385846646351e-06,0.00028731733401438184,0.016315143898680662,9.351737552837317e-06,0.0019258256225080871,0.04187880219341447,3.2652528121989844e-05,0.001194475550578574,0.02875887327081337
A.fuj(H),0.025039488388405497,0.0,4.818766203101358e-06,0.03521506681704532,2.7584684982897496e-05,0.0,0.7466616558240854,0.0048945146064515365,0.00011970364996301595,0.05160266901543899,0.0011722510447547483,6.873041183262771e-06,0.010625398286483042,0.0,0.0,0.029024314622876867,0.00020335536349771222,0.0002457002457002457,0.023286945555857776,0.0,0.0,0.012544580954905307,6.266842138246537e-05,0.00017106079072850514,0.011968787080539535,0.0015246915323149902,3.261897772123821e-05,0.025493463677036893,0.00034736119124490514,1.2077294685990338e-05,0.013324491103955524,0.0014793822054547353,0.0001824004185787238
A.fuj(T),0.0008567032659626549,0.023868078568133944,0.00016434528945314105,0.000631246034583265,0.024966967176728527,0.0013793164062890918,0.002211789735797123,0.5046447253723542,0.003032540869809588,0.00010261741461317059,0.008319548719049519,5.145356315924878e-05,0.0007960586103588846,0.000773180308064029,5.191434133679429e-05,0.001241983871411664,0.0008044986249640848,8.279211819034829e-05,0.001111156837729948,0.00010664812285430994,5.735150738878587e-05,0.0002663403996770622,0.0007773058420879388,0.0011545739185984264,0.00010704918910239254,0.003760582794831575,0.0,0.00013064576334453153,0.0008350670365233473,1.1993859144118212e-05,6.125058379462679e-05,0.002418722796332902,0.00023768692589096473
A.fuj,0.0005358647087493361,0.0070279697970064385,0.06358133514730703,0.00010492904173552636,0.003921211102922365,0.11785534181423035,7.76220485428886e-05,0.0023967651097813146,0.7900108745716019,1.95135500612174e-05,0.0003531242779480428,0.08973275374006316,4.76544480661825e-06,0.0003116326629984905,0.029075497383676326,0.0017170657254602692,0.0013777433875155872,0.026651620450011963,0.0008557584725316096,0.00012778736182991502,0.006999762890290307,0.0008743647193835728,0.001113040780864102,0.017556543499570545,8.4289492261171e-05,0.00018859226352625625,0.0030852929061758855,8.668985620320103e-05,5.5702672699180264e-05,0.008092338840825799,0.00015385940942604285,0.0004638909569898631,0.007804445703487206
B.xyl(H),0.054249645169428616,1.1455803510058197e-05,1.5088304300921143e-05,0.04794317776929232,0.0004571689810846334,0.0,0.02561670008969905,0.00037676609105180537,2.669870511280203e-05,0.6822778173188463,0.0030013311492493103,0.0,0.03056343213572432,6.516780710329097e-05,0.0,0.023631175819008865,0.0007490636704119849,5.104254396039099e-05,0.02263295955799113,2.1204410517387616e-05,0.0,0.0030093377187560737,5.55000555000555e-05,0.0,0.0032430806600606283,0.005514925123918841,3.293807641633729e-05,0.025569035630277417,0.00832044008939316,0.0,0.006916748236209685,0.008417292278511289,7.162297665090961e-05
